latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.448944,-76.498665,133.0,-14400,America/New_York,EDT

time,weather_code (wmo code),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2024-11-01T00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T01:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T02:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T03:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T04:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T05:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T06:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T07:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T08:00,0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,62.2
2024-11-01T09:00,1,105.0,77.0,28.0,533.7,105.0,181.6,171.4,125.7,45.7,589.0,155.3,296.4
2024-11-01T10:00,0,219.0,132.0,87.0,459.9,219.0,398.8,271.4,163.6,107.8,459.9,271.4,494.1
2024-11-01T11:00,3,374.0,292.0,82.0,708.5,374.0,572.5,419.3,327.4,91.9,708.5,419.3,641.9
2024-11-01T12:00,3,136.0,0.0,136.0,0.0,136.0,691.0,143.6,0.0,143.6,0.0,143.6,729.7
2024-11-01T13:00,3,69.0,0.0,69.0,0.0,69.0,746.2,69.5,0.0,69.5,0.0,69.5,751.6
2024-11-01T14:00,3,111.0,0.0,111.0,0.0,111.0,734.2,106.7,0.0,106.7,0.0,106.7,705.9
2024-11-01T15:00,3,45.0,0.0,45.0,0.0,45.0,655.8,40.9,0.0,40.9,0.0,40.9,595.8
2024-11-01T16:00,3,26.0,0.0,26.0,0.0,26.0,516.5,21.6,0.0,21.6,0.0,21.6,428.9
2024-11-01T17:00,3,23.0,0.0,23.0,0.0,23.0,325.7,15.3,0.0,15.3,0.0,15.3,216.4
2024-11-01T18:00,3,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T19:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T20:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T21:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T22:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01T23:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T01:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T02:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T03:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T04:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T05:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T06:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T07:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T08:00,0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,56.9
2024-11-02T09:00,0,82.0,52.0,30.0,365.8,82.0,176.1,135.4,85.9,49.5,410.4,120.7,290.8
2024-11-02T10:00,0,241.0,180.0,61.0,636.5,241.0,393.1,299.4,223.6,75.8,636.5,299.4,488.3
2024-11-02T11:00,0,385.0,307.0,78.0,753.0,385.0,566.7,432.1,344.6,87.5,753.0,432.1,636.0
2024-11-02T12:00,0,487.0,402.0,85.0,815.7,487.0,685.0,514.5,424.7,89.8,815.7,514.5,723.7
2024-11-02T13:00,0,536.0,450.0,86.0,845.2,536.0,740.1,539.9,453.3,86.6,845.2,539.9,745.5
2024-11-02T14:00,1,526.0,442.0,84.0,843.9,526.0,728.1,505.6,424.8,80.7,843.9,505.6,699.8
2024-11-02T15:00,0,459.0,381.0,78.0,815.0,459.0,649.8,416.6,345.8,70.8,815.0,416.6,589.9
2024-11-02T16:00,2,329.0,244.0,85.0,664.2,329.0,510.7,272.6,202.1,70.4,664.2,272.6,423.1
2024-11-02T17:00,3,169.0,105.0,64.0,456.1,169.0,320.0,111.3,69.2,42.2,456.1,111.3,210.8
2024-11-02T18:00,0,38.0,23.0,15.0,204.6,38.0,96.9,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T19:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T20:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T21:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T22:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02T23:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T01:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T02:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T03:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T04:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T05:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T06:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T07:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T08:00,3,1.0,1.0,0.0,18.2,1.0,15.8,3.3,3.3,0.0,37.5,0.7,51.5
2024-11-03T09:00,3,50.0,25.0,25.0,178.5,50.0,170.7,83.6,41.8,41.8,203.7,73.2,285.2
2024-11-03T10:00,3,133.0,66.0,67.0,236.9,133.0,387.4,165.7,82.2,83.5,236.9,165.7,482.6
2024-11-03T11:00,3,171.0,81.0,90.0,200.8,171.0,560.8,192.1,91.0,101.1,200.8,192.1,630.1
2024-11-03T12:00,3,194.0,90.0,104.0,184.3,194.0,679.1,205.0,95.1,109.9,184.3,205.0,717.7
2024-11-03T13:00,3,192.0,88.0,104.0,166.7,192.0,734.1,193.4,88.6,104.8,166.7,193.4,739.5
2024-11-03T14:00,3,193.0,88.0,105.0,169.5,193.0,722.1,185.5,84.6,100.9,169.5,185.5,693.9
2024-11-03T15:00,3,137.0,61.0,76.0,131.7,137.0,643.9,124.3,55.3,68.9,131.7,124.3,584.0
2024-11-03T16:00,3,130.0,60.0,70.0,165.3,130.0,504.9,107.5,49.6,57.9,165.3,107.5,417.4
2024-11-03T17:00,3,104.0,51.0,53.0,225.6,104.0,314.5,67.9,33.3,34.6,225.6,67.9,205.3
2024-11-03T18:00,3,14.0,7.0,7.0,63.4,14.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T19:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03T20:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
