timestamp,station pressure,sea level pressure,dewpoint temperature,temperature,relative humidity,wind direction,wind speed,total sky cover,solar radiation
2022-01-01 00:00:00,1001.7,1012.3,40.0,41.0,96.0,350.0,3.0,10.0,0.0
2022-01-01 01:00:00,1001.4,1011.9,40.0,41.0,96.0,0.0,0.0,10.0,0.0
2022-01-01 02:00:00,1001.0,1011.7,41.0,41.0,100.0,0.0,0.0,10.0,0.0
2022-01-01 03:00:00,1000.3,1010.9,40.0,41.0,96.0,0.0,0.0,10.0,0.0
2022-01-01 04:00:00,999.3,1009.9,41.0,41.0,100.0,0.0,0.0,10.0,0.0
2022-01-01 05:00:00,998.6,1009.4,41.0,41.0,100.0,0.0,0.0,10.0,0.0
2022-01-01 06:00:00,998.6,1009.2,40.0,41.0,96.0,0.0,0.0,10.0,0.0
2022-01-01 07:00:00,998.3,1008.8,40.0,41.0,96.0,0.0,0.0,10.0,0.0
2022-01-01 08:00:00,998.3,1009.0,41.0,42.0,96.0,300.0,6.0,10.0,0.0
2022-01-01 09:00:00,998.0,1008.6,45.0,46.0,96.0,170.0,5.0,10.0,0.8
2022-01-01 10:00:00,997.3,1008.0,47.0,49.0,93.0,160.0,13.0,10.0,2.5
2022-01-01 11:00:00,997.0,1007.5,48.0,50.0,93.0,180.0,9.0,10.0,4.0
2022-01-01 12:00:00,996.3,1006.9,48.0,50.0,93.0,170.0,13.0,10.0,4.7
2022-01-01 13:00:00,995.9,1006.4,48.0,50.0,93.0,160.0,7.0,10.0,4.7
2022-01-01 14:00:00,995.3,1005.7,48.0,50.0,93.0,160.0,9.0,10.0,3.8
2022-01-01 15:00:00,995.6,1006.3,48.0,50.0,93.0,150.0,5.0,10.0,2.3
2022-01-01 16:00:00,995.6,1006.3,48.0,50.0,93.0,170.0,6.0,10.0,0.6
2022-01-01 17:00:00,995.3,1006.0,48.0,50.0,93.0,150.0,5.0,10.0,0.0
2022-01-01 18:00:00,995.6,1006.2,48.0,50.0,93.0,160.0,5.0,10.0,0.0
2022-01-01 19:00:00,994.9,1005.5,49.0,50.0,96.0,0.0,0.0,10.0,0.0
2022-01-01 20:00:00,994.2,1004.7,49.0,50.0,96.0,160.0,5.0,10.0,0.0
2022-01-01 21:00:00,993.9,1004.5,49.0,49.0,100.0,190.0,3.0,10.0,0.0
2022-01-01 22:00:00,992.2,1002.8,49.0,50.0,96.0,100.0,3.0,10.0,0.0
2022-01-01 23:00:00,990.5,1001.1,48.0,49.0,97.0,110.0,7.0,10.0,0.0
2022-01-02 00:00:00,991.9,1002.5,47.0,48.0,96.0,330.0,12.0,10.0,0.0
2022-01-02 01:00:00,993.2,1003.8,40.0,41.0,96.0,10.0,12.0,10.0,0.0
2022-01-02 02:00:00,992.9,1003.5,37.0,39.0,93.0,350.0,10.0,10.0,0.0
2022-01-02 03:00:00,992.2,1002.7,37.0,38.0,97.0,340.0,10.0,10.0,0.0
2022-01-02 04:00:00,991.9,1002.6,36.0,38.0,92.0,360.0,7.0,10.0,0.0
2022-01-02 05:00:00,992.6,1003.4,35.0,36.0,96.0,350.0,8.0,10.0,0.0
2022-01-02 06:00:00,992.2,1003.0,33.0,35.0,92.0,350.0,9.0,10.0,0.0
2022-01-02 07:00:00,993.2,1003.8,32.0,34.0,92.0,360.0,9.0,10.0,0.0
2022-01-02 08:00:00,993.9,1004.6,33.0,34.0,96.0,350.0,7.0,10.0,0.0
2022-01-02 09:00:00,994.6,1005.2,32.0,34.0,92.0,360.0,9.0,10.0,0.5
2022-01-02 10:00:00,994.6,1005.4,32.0,34.0,92.0,10.0,8.0,10.0,1.4
2022-01-02 11:00:00,994.9,1005.5,32.0,33.0,96.0,30.0,7.0,10.0,2.3
2022-01-02 12:00:00,995.6,1006.1,31.0,33.0,92.0,350.0,9.0,10.0,2.7
2022-01-02 13:00:00,995.3,1006.0,30.0,33.0,88.0,360.0,9.0,10.0,2.8
2022-01-02 14:00:00,997.3,1007.8,30.0,32.0,92.0,350.0,7.0,10.0,6.0
2022-01-02 15:00:00,998.0,1008.9,29.0,31.0,92.0,340.0,10.0,10.0,1.4
2022-01-02 16:00:00,1000.3,1011.0,27.0,30.0,88.0,320.0,9.0,10.0,0.4
2022-01-02 17:00:00,1002.4,1013.4,26.0,30.0,85.0,280.0,7.0,10.0,0.0
2022-01-02 18:00:00,1003.7,1014.7,26.0,28.0,92.0,340.0,9.0,10.0,0.0
2022-01-02 19:00:00,1004.7,1015.9,25.0,28.0,88.0,320.0,13.0,10.0,0.0
2022-01-02 20:00:00,1005.1,1016.2,23.0,28.0,81.0,330.0,13.0,10.0,0.0
2022-01-02 21:00:00,1005.8,1016.8,21.0,26.0,81.0,310.0,14.0,10.0,0.0
2022-01-02 22:00:00,1006.4,1017.6,19.0,25.0,78.0,310.0,14.0,8.0,0.0
2022-01-02 23:00:00,1007.8,1018.8,16.0,24.0,71.0,280.0,22.0,2.0,0.0
2022-01-03 00:00:00,1008.5,1019.6,14.0,22.0,71.0,270.0,15.0,5.0,0.0
2022-01-03 01:00:00,1009.1,1020.2,13.0,22.0,68.0,280.0,15.0,8.0,0.0
2022-01-03 02:00:00,1010.8,1022.1,11.0,21.0,64.0,290.0,8.0,8.0,0.0
2022-01-03 03:00:00,1011.2,1022.4,11.0,20.0,67.0,290.0,7.0,8.0,0.0
2022-01-03 04:00:00,1011.9,1023.0,10.0,20.0,65.0,340.0,9.0,10.0,0.0
2022-01-03 05:00:00,1012.2,1023.3,8.0,18.0,65.0,300.0,12.0,10.0,0.0
2022-01-03 06:00:00,1012.5,1023.8,9.0,18.0,67.0,310.0,6.0,10.0,0.0
2022-01-03 07:00:00,1012.9,1024.3,10.0,18.0,71.0,310.0,7.0,10.0,0.0
2022-01-03 08:00:00,1013.5,1024.6,11.0,19.0,70.0,300.0,10.0,8.0,0.0
2022-01-03 09:00:00,1013.9,1025.3,12.0,19.0,74.0,340.0,10.0,8.0,3.8
2022-01-03 10:00:00,1013.5,1024.6,12.0,19.0,74.0,360.0,9.0,10.0,8.7
2022-01-03 11:00:00,1013.2,1024.6,11.0,18.0,73.0,20.0,9.0,10.0,16.9
2022-01-03 12:00:00,1011.9,1023.3,10.0,18.0,71.0,360.0,12.0,10.0,16.2
2022-01-03 13:00:00,1011.9,1023.0,11.0,18.0,73.0,10.0,10.0,10.0,28.0
2022-01-03 14:00:00,1011.5,1022.9,11.0,18.0,73.0,350.0,8.0,8.0,23.0
2022-01-03 15:00:00,1011.5,1022.7,10.0,18.0,71.0,360.0,8.0,8.0,14.2
2022-01-03 16:00:00,1011.9,1023.3,8.0,16.0,70.0,350.0,10.0,8.0,4.1
2022-01-03 17:00:00,1012.5,1023.8,5.0,16.0,61.0,350.0,13.0,8.0,0.0
2022-01-03 18:00:00,1013.5,1024.8,7.0,15.0,70.0,350.0,8.0,10.0,0.0
2022-01-03 19:00:00,1014.2,1025.4,7.0,15.0,70.0,20.0,9.0,10.0,0.0
2022-01-03 20:00:00,1014.6,1026.0,7.0,14.0,73.0,20.0,6.0,10.0,0.0
2022-01-03 21:00:00,1014.9,1026.2,7.0,14.0,73.0,360.0,7.0,10.0,0.0
2022-01-03 22:00:00,1015.2,1026.6,7.0,14.0,73.0,10.0,7.0,10.0,0.0
2022-01-03 23:00:00,1015.6,1027.0,7.0,13.0,77.0,20.0,7.0,10.0,0.0
2022-01-04 00:00:00,1015.9,1027.1,8.0,14.0,77.0,340.0,5.0,10.0,0.0
2022-01-04 01:00:00,1015.9,1027.4,8.0,13.0,80.0,360.0,3.0,10.0,0.0
2022-01-04 02:00:00,1016.3,1027.7,4.0,12.0,69.0,330.0,6.0,2.0,0.0
2022-01-04 03:00:00,1016.6,1028.1,3.0,12.0,66.0,330.0,7.0,2.0,0.0
2022-01-04 04:00:00,1017.3,1028.6,4.0,11.0,73.0,320.0,5.0,0.0,0.0
2022-01-04 05:00:00,1017.9,1029.3,3.0,10.0,73.0,50.0,3.0,2.0,0.0
2022-01-04 06:00:00,1017.9,1029.3,3.0,11.0,70.0,0.0,0.0,2.0,0.0
2022-01-04 07:00:00,1018.3,1029.9,4.0,11.0,73.0,0.0,0.0,2.0,0.0
2022-01-04 08:00:00,1018.6,1029.9,6.0,14.0,70.0,120.0,5.0,8.0,0.1
2022-01-04 09:00:00,1018.6,1029.8,8.0,17.0,67.0,150.0,8.0,8.0,3.6
2022-01-04 10:00:00,1017.6,1028.8,11.0,20.0,67.0,140.0,8.0,8.0,10.8
2022-01-04 11:00:00,1016.6,1028.0,12.0,22.0,65.0,170.0,6.0,8.0,16.9
2022-01-04 12:00:00,1015.9,1027.2,12.0,23.0,62.0,0.0,0.0,8.0,20.2
2022-01-04 13:00:00,1015.9,1027.1,14.0,27.0,58.0,160.0,7.0,8.0,20.1
2022-01-04 14:00:00,1015.2,1026.4,14.0,29.0,53.0,150.0,10.0,2.0,16.5
2022-01-04 15:00:00,1014.9,1026.1,15.0,29.0,56.0,150.0,9.0,2.0,14.4
2022-01-04 16:00:00,1014.9,1026.1,14.0,28.0,55.0,160.0,9.0,5.0,4.3
2022-01-04 17:00:00,1014.9,1026.1,14.0,27.0,58.0,150.0,5.0,5.0,0.1
2022-01-04 18:00:00,1014.6,1025.8,15.0,28.0,58.0,160.0,8.0,5.0,0.0
2022-01-04 19:00:00,1013.9,1025.2,16.0,28.0,60.0,160.0,7.0,5.0,0.0
2022-01-04 20:00:00,1013.2,1024.3,17.0,28.0,63.0,160.0,8.0,5.0,0.0
2022-01-04 21:00:00,1012.9,1024.1,17.0,28.0,63.0,160.0,10.0,5.0,0.0
2022-01-04 22:00:00,1011.9,1023.1,16.0,29.0,58.0,150.0,10.0,5.0,0.0
2022-01-04 23:00:00,1010.8,1022.1,16.0,29.0,58.0,160.0,12.0,8.0,0.0
2022-01-05 00:00:00,1009.5,1020.7,16.0,29.0,58.0,160.0,12.0,8.0,0.0
2022-01-05 01:00:00,1008.8,1020.0,16.0,29.0,58.0,160.0,12.0,8.0,0.0
2022-01-05 02:00:00,1008.1,1019.2,16.0,29.0,58.0,160.0,17.0,8.0,0.0
2022-01-05 03:00:00,1007.5,1018.5,15.0,29.0,56.0,160.0,13.0,5.0,0.0
2022-01-05 04:00:00,1006.1,1017.3,16.0,28.0,60.0,160.0,15.0,8.0,0.0
2022-01-05 05:00:00,1004.1,1015.3,15.0,28.0,58.0,160.0,16.0,8.0,0.0
2022-01-05 06:00:00,1003.7,1014.9,15.0,29.0,56.0,160.0,15.0,8.0,0.0
2022-01-05 07:00:00,1002.7,1013.9,18.0,30.0,60.0,150.0,16.0,10.0,0.0
2022-01-05 08:00:00,1002.4,1013.3,20.0,31.0,63.0,170.0,17.0,10.0,0.1
2022-01-05 09:00:00,1001.7,1012.4,22.0,33.0,63.0,160.0,18.0,10.0,4.9
2022-01-05 10:00:00,1000.0,1010.7,26.0,35.0,69.0,170.0,16.0,8.0,15.0
2022-01-05 11:00:00,998.6,1009.6,28.0,35.0,75.0,170.0,21.0,10.0,22.7
2022-01-05 12:00:00,997.6,1008.6,29.0,36.0,75.0,160.0,14.0,10.0,27.1
2022-01-05 13:00:00,997.0,1007.6,30.0,37.0,75.0,160.0,12.0,10.0,28.1
2022-01-05 14:00:00,996.3,1006.9,30.0,38.0,73.0,160.0,13.0,10.0,23.2
2022-01-05 15:00:00,995.6,1006.3,30.0,38.0,73.0,170.0,10.0,10.0,14.5
2022-01-05 16:00:00,995.3,1005.9,31.0,38.0,76.0,160.0,12.0,8.0,4.4
2022-01-05 17:00:00,994.9,1005.7,31.0,37.0,78.0,160.0,10.0,8.0,0.1
2022-01-05 18:00:00,995.3,1005.9,31.0,37.0,78.0,170.0,9.0,8.0,0.0
2022-01-05 19:00:00,994.6,1005.3,32.0,37.0,82.0,160.0,10.0,8.0,0.0
2022-01-05 20:00:00,993.6,1004.4,33.0,37.0,85.0,170.0,13.0,10.0,0.0
2022-01-05 21:00:00,993.6,1004.2,33.0,37.0,85.0,170.0,14.0,10.0,0.0
2022-01-05 22:00:00,992.9,1003.7,34.0,37.0,89.0,160.0,13.0,10.0,0.0
2022-01-05 23:00:00,993.2,1003.8,33.0,36.0,89.0,170.0,9.0,10.0,0.0
2022-01-06 00:00:00,992.9,1003.5,32.0,36.0,85.0,160.0,7.0,10.0,0.0
2022-01-06 01:00:00,993.6,1004.2,31.0,34.0,88.0,-1.0,3.0,8.0,0.0
2022-01-06 02:00:00,994.9,1005.5,29.0,35.0,78.0,290.0,20.0,8.0,0.0
2022-01-06 03:00:00,995.6,1006.1,29.0,33.0,85.0,270.0,10.0,10.0,0.0
2022-01-06 04:00:00,996.3,1006.9,24.0,30.0,78.0,0.0,0.0,2.0,0.0
2022-01-06 05:00:00,997.3,1007.9,25.0,32.0,75.0,280.0,9.0,10.0,0.0
2022-01-06 06:00:00,998.3,1009.2,19.0,31.0,61.0,270.0,9.0,10.0,0.0
2022-01-06 07:00:00,999.7,1010.4,18.0,30.0,60.0,280.0,9.0,8.0,0.0
2022-01-06 08:00:00,1001.0,1011.9,18.0,30.0,60.0,290.0,13.0,10.0,0.1
2022-01-06 09:00:00,1002.0,1012.7,21.0,29.0,72.0,290.0,7.0,10.0,1.6
2022-01-06 10:00:00,1002.4,1013.0,20.0,31.0,63.0,260.0,9.0,10.0,6.2
2022-01-06 11:00:00,1002.4,1013.1,19.0,32.0,58.0,270.0,10.0,8.0,7.4
2022-01-06 12:00:00,1002.0,1012.9,20.0,32.0,61.0,250.0,9.0,8.0,12.3
2022-01-06 13:00:00,1002.4,1013.3,19.0,32.0,58.0,280.0,10.0,8.0,13.6
2022-01-06 14:00:00,1002.4,1013.0,21.0,31.0,66.0,300.0,13.0,8.0,16.8
2022-01-06 15:00:00,1002.4,1013.0,19.0,30.0,63.0,300.0,7.0,8.0,14.1
2022-01-06 16:00:00,1003.4,1014.5,18.0,29.0,63.0,270.0,6.0,8.0,4.4
2022-01-06 17:00:00,1003.4,1014.4,19.0,29.0,66.0,280.0,6.0,8.0,0.1
2022-01-06 18:00:00,1003.4,1014.4,18.0,28.0,65.0,0.0,0.0,10.0,0.0
2022-01-06 19:00:00,1003.4,1014.6,19.0,28.0,69.0,0.0,0.0,10.0,0.0
