Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1163834,-,-,-,42.45,-76.46,-5,286,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Precipitable Water,Surface Albedo,Wind Speed,DNI,DHI,Temperature,GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,0,30,0.923,0.866,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,0.73,0.866,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,0.578,0.866,1.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,0.495,0.866,1.2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,0.48,0.866,1,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,0.507,0.866,0.8,0,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,0.541,0.866,0.6,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,0.557,0.866,0.6,0,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,0.55,0.866,0.6,417,47,-1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,0.53,0.866,0.7,666,75,0,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,0.507,0.866,0.8,800,85,0,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,0.488,0.866,0.7,853,89,1,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,12,30,0.48,0.866,0.6,872,86,2,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,13,30,0.484,0.866,0.5,859,77,2,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,14,30,0.49,0.866,0.4,792,65,1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,15,30,0.495,0.866,0.5,638,46,0,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,16,30,0.503,0.866,0.8,218,12,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,17,30,0.513,0.866,0.9,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,18,30,0.518,0.866,0.8,0,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,30,0.524,0.866,0.7,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,20,30,0.537,0.866,0.6,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,21,30,0.553,0.866,0.5,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,22,30,0.563,0.866,0.5,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,30,0.578,0.866,0.5,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,0,30,0.609,0.866,0.5,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1,30,0.641,0.866,0.5,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,2,30,0.643,0.866,0.6,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,3,30,0.616,0.866,0.5,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,4,30,0.622,0.866,0.5,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,5,30,0.739,0.866,0.5,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,6,30,0.966,0.866,0.5,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,7,30,1.244,0.866,0.6,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,8,30,1.496,0.866,0.7,0,41,-2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,9,30,1.639,0.866,0.7,12,95,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,10,30,1.661,0.866,0.7,25,136,0,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,11,30,1.626,0.866,0.8,41,165,1,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,12,30,1.602,0.866,0.9,0,26,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,13,30,1.593,0.866,0.8,0,66,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,14,30,1.575,0.866,0.8,0,49,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,15,30,1.552,0.866,0.8,0,25,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,16,30,1.529,0.866,0.9,0,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,17,30,1.507,0.866,0.9,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,18,30,1.495,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,19,30,1.5,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,20,30,1.531,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,21,30,1.565,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,22,30,1.585,0.866,1.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,23,30,1.634,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,0,30,1.719,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,1,30,1.812,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,2,30,1.91,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,3,30,2.015,0.866,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,4,30,2.122,0.866,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,5,30,2.219,0.866,1.1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,6,30,2.302,0.866,1.2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,7,30,2.355,0.866,1.2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,8,30,2.379,0.866,1.2,0,25,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,9,30,2.389,0.866,1,0,63,1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,10,30,2.388,0.866,0.9,0,94,2,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,11,30,2.373,0.866,0.8,0,117,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,12,30,2.355,0.866,0.8,0,139,2,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,13,30,2.339,0.866,0.7,0,84,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,14,30,2.323,0.866,0.7,0,63,1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,15,30,2.299,0.866,0.6,0,33,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,16,30,2.26,0.866,0.6,0,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,17,30,2.213,0.866,0.6,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,18,30,2.171,0.866,0.5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,19,30,2.135,0.866,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,20,30,2.091,0.866,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,21,30,2.025,0.866,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,22,30,1.941,0.866,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,23,30,1.855,0.866,0.5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,0,30,1.791,0.866,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,1,30,1.783,0.866,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,2,30,1.772,0.866,0.6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,3,30,1.652,0.866,0.8,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,4,30,1.516,0.866,0.9,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,5,30,1.454,0.866,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,6,30,1.368,0.866,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,7,30,1.176,0.866,1.1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,8,30,0.96,0.866,1.1,0,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,9,30,0.806,0.866,1.2,0,17,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,10,30,0.689,0.866,1.3,0,26,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,11,30,0.59,0.866,1.5,587,113,2,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,12,30,0.505,0.866,1.6,830,62,1,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,13,30,0.436,0.866,1.7,620,95,0,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,14,30,0.401,0.866,1.7,715,85,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,15,30,0.394,0.866,1.6,524,63,-1,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,16,30,0.393,0.866,1.5,85,17,-2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,17,30,0.388,0.866,1.5,0,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,18,30,0.376,0.866,1.6,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,19,30,0.361,0.866,1.6,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,20,30,0.346,0.866,1.7,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,21,30,0.332,0.866,1.7,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,22,30,0.321,0.866,1.7,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,23,30,0.313,0.866,1.6,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,0,30,0.304,0.866,1.5,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,1,30,0.296,0.866,1.4,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
